,Gamma,NegGAN,PosGAN,NegModGAN,PosModGAN,Difference,Percentage Blocking,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,778,14198,,,646.0,519.0,4508.0,755.0,78.0,2113.0,553.0,2301.0,1846.0,2636.0,3.0,2740.0,393.0,451.0,525.0,778.0,289.0,585.0,3568.0,5554.0,6242.0,8208.0,8.0,191.0,12501.0,111.0,326.0,182.0,1704.0,1.0,861.0,7157.0,3321.0,2784.0,1536.0,536.0,6697.0,12.0,148.0,11588.0
2,2,,,21,14955,,,10.0,94.0,2397.0,45.0,1.0,2902.0,825.0,1075.0,5026.0,1200.0,0.0,2207.0,138.0,19.0,14.0,21.0,12.0,4.0,1544.0,3983.0,1506.0,6521.0,0.0,55.0,14778.0,7.0,17.0,82.0,372.0,4.0,38.0,4343.0,8035.0,742.0,1473.0,120.0,6293.0,4.0,4.0,14707.0
3,3,,,72,14904,,,435.0,510.0,6513.0,398.0,3.0,1722.0,313.0,1057.0,1843.0,2919.0,8.0,2555.0,719.0,59.0,23.0,72.0,196.0,108.0,4483.0,4849.0,5941.0,7992.0,9.0,247.0,12653.0,79.0,400.0,496.0,865.0,0.0,980.0,6973.0,2858.0,3762.0,1368.0,326.0,6706.0,2.0,147.0,12602.0
4,4,,,165,14811,,,677.0,469.0,6502.0,528.0,15.0,2006.0,352.0,1348.0,2017.0,2943.0,2.0,2365.0,678.0,113.0,102.0,165.0,196.0,412.0,4384.0,5278.0,6227.0,8000.0,6.0,249.0,12584.0,166.0,358.0,302.0,1100.0,0.0,810.0,7252.0,3369.0,2958.0,1427.0,394.0,6670.0,5.0,259.0,12483.0
5,5,,,142,14834,,,435.0,530.0,6355.0,349.0,10.0,2204.0,430.0,1215.0,2073.0,3118.0,5.0,2439.0,642.0,131.0,74.0,142.0,159.0,247.0,4325.0,5032.0,5876.0,8170.0,4.0,239.0,12620.0,104.0,472.0,395.0,1006.0,0.0,910.0,7088.0,3024.0,3479.0,1342.0,388.0,6795.0,6.0,157.0,12576.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
